id;titre;description;date_generation;indicateur_id
1;highly;fatherly unkempt unlawful;2025-05-20T15:10:47;22260
2;aw;reprove as foolhardy;2025-05-20T02:54:25;25683
3;regarding whoa;liberalize considering;2025-05-20T19:12:32;4054
4;drat insidious whose;nocturnal briskly;2025-05-20T10:30:10;24862
5;and anxiously;mainstream;2025-05-20T09:12:13;32674
6;until fledgling incandescence;after as;2025-05-20T18:37:25;20216
7;whether yahoo ape;and flood behind;2025-05-20T13:31:49;5684
8;zowie;joyously;2025-05-20T05:25:30;30341
9;tinted dependent hence;burly secret yowza;2025-05-20T19:56:04;11848
10;voluminous supposing;straw;2025-05-20T07:21:14;12325
