id;annee_academique;moyenne;mention;dossier_id
1;recommendation;9744.69;scoop generously;30736
2;till packaging scientific;24736.08;multicolored before woefully;5465
3;gosh profitable;21039.29;celsius obedience hmph;8262
4;sneak;12919.08;usually;17969
5;colorful privilege;27854.82;swiftly yahoo over;327
6;excitedly instantly;18715.95;guidance;14853
7;genuine;31545.04;drat;9648
8;deny;10508.52;up optimistically;17319
9;up gah boastfully;31240.68;unlike arrogantly failing;7238
10;stigmatize;10849.55;apud readily bowler;24555
